Observation,CurveID,Site Name,canopy/ground,Species,Family,Order,Clade,Growth form,LimitState,Amax,Vcmax25,Jmax25,tpu25,numrubisco,numrubp,numtpu,LMA,Nmass,Cmass,Pmass,wood density,density source
35,no35-2013jan24cecilia3of4.csv,PNM,canopy,Luehea seemanii,Malvaceae,Malvales,rosids,tree,RubiscoRuBpTpu,14.59,41.72,70.03,4.43,9,1,5,88.47,17.4,439.9,1.11,0.573,Wright et al.
36,no36-2013jan24agnes6of8.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,8.82,22.49,40.1,2.82,11,3,2,53.7,22.9,457.7,1.54,,
37,no37-2013jan24brick7of8.csv,PNM,canopy,Cinnamomum triplinerve,Lauraceae,Laurales,magnoliids,tree, ,13.6,,,3.98,,,,104.56,19.6,465.7,0.98,0.524,Wright et al.
38,no38-2013jan24brick8of8.csv,PNM,canopy,Cinnamomum triplinerve,Lauraceae,Laurales,magnoliids,tree,RubiscoRuBpTpu,15.82,51.23,76.19,4.87,7,4,5,105.27,18.5,457.9,1.02,0.524,Wright et al.
39,no39-2013jan24agnes8of8.csv,PNM,canopy,Bonamia tricantha,Convolvulaceae,Solanales,asterids,liana,RubiscoRuBpTpu,19.61,53.52,77.15,5.16,8,4,3,93.44,24,399.8,1.45,,
40,no40-2013jan24cecilia4of4.csv,PNM,canopy,Cinnamomum triplinerve,Lauraceae,Laurales,magnoliids,tree,RubiscoRuBpTpu,21.89,60.13,96.55,6.37,9,3,4,104.08,20.4,463.2,1,0.524,Wright et al.
41,no41-2013jan24agnes7of8.csv,PNM,canopy,Castilla elastica,Moraceae,Rosales,rosids,tree,RubiscoRuBpTpu,15,42.93,67.16,4.31,8,2,5,93.91,23.4,437,1.1,0.337,Wright et al.
42,no42-2013jan24brick6of8.csv,PNM,canopy,Amphilophium paniculatum,Bignoniaceae,Lamiales,asterids,liana,RubiscoRuBpTpu,11.32,35.42,56.83,3.61,7,2,5,69.07,23,450.3,1.41,,
43,no43-2013jan24agnes4of8.csv,PNM,canopy,Stigmaphyllon hypargineum,Malpighiaceae,Malpighiales,rosids,liana,RubiscoRuBpTpu,14.6,52.96,63.03,4.28,5,6,3,74.04,24.9,414.9,1.5,0.393,Wright et al.
44,no44-2013jan24brick4of8.csv,PNM,canopy,Peritassa pruinosa,Celastraceae,Celastrales,rosids,liana,RubiscoRuBpTpu,11.9,33.34,55.64,3.75,10,3,3,74.99,18.8,467.9,1.05,,
45,no45-2013jan24brick3of8.csv,PNM,canopy,Pittoniotis trichantha,Rubiaceae,Gentianales,asterids,tree,RubiscoRuBpTpu,21.56,60.62,98.26,6.22,7,3,5,86.58,24.6,467.3,1.17,0.603,Wright et al.
46,no46a-2013jan24dorothy1_3of3.csv,PNM,canopy,Stylogyne standleyi,Primulaceae,Ericales,asterids,tree, ,,,,,,,,40.19,20.4,442,1.66,,
47,no47-2013jan24dorothy4_3of3.csv,PNM,canopy,Annona hayesii,Annonaceae,Magnoliales,magnoliids,tree,RubiscoRuBp,9.3,31.5,40.16,2.92,7,8,0,28.67,31.1,429.3,1.51,0.494,Wright et al.
48,no48-2013jan24dorothy1_2of3.csv,PNM,canopy,Hirtella triandra,Chrysobalanaceae,Malpighiales,rosids,tree,,,,,,,,,35.36,16.9,407.7,0.93,0.623,Wright et al.
49,"corw1,dorothy,14:10",PNM,canopy,Cojoba rufescens ,Fabaceae,Fabales,rosids,tree,,,,,,,,,40.99,31.1,461.2,1.13,,
50,no50-2013jan25cecilia2_4of4.csv,PNM,canopy,Oenocarpus mapora,Arecaceae,Arecales,monocots,tree,RubiscoRuBp,8.41,20.4,36.22,2.72,11,3,0,47.55,19.3,473.4,1.27,0.713,Chave et al. 
51,no51-2013jan25cecilia2_2of4.csv,PNM,ground,unknown,Bignoniaceae,Lamiales,asterids,tree,RubiscoRuBpTpu,14.02,40.23,65.45,4.48,11,3,2,39.27,25.1,425.3,1.32,,
52,no52-2013jan25cecilia2_3of4.csv,PNM,ground,Tectaria pilosa,Tectariaceae,Polypodiales,ferns,fern,RubiscoRuBp,8.86,16.31,33.22,2.75,13,3,0,24.84,28.2,390.6,1.2,,
53,no53-2013jan25cecilia2_1of4.csv,PNM,canopy,Ocotea martinicensis,Lauraceae,Laurales,magnoliids,tree,RubiscoRuBp,10.51,33.4,51.65,3.72,9,6,0,33.83,23.4,463.3,2.41,,
54,no54a-2013jan25brick1_1of2.csv,PNM,canopy,Luehea seemanii,Malvaceae,Malvales,rosids,tree,RubiscoRuBpTpu,17.74,46.64,70.68,4.82,9,3,4,119.22,21.4,457.1,1.01,0.573,Wright et al.
55,no55-2013jan25brick3_1of3.csv,PNM,canopy,Cordia alliodora,Boraginaceae,Boraginaceae,asterids,tree,RubiscoRuBpTpu,28.6,65.25,108.56,7.78,11,3,1,94.39,37.9,415.3,1.56,0.434,Wright et al.
56,no56-2013jan25agnes_6of8.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBp,18.35,40.8,67.94,4.99,12,4,0,99.35,31.4,467.4,1.44,,
57,no57-2013jan25dorothy3_2of2.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,21.11,46.07,81.41,5.79,11,2,2,54.17,32.9,471,2.03,,
58,no58-2013jan25agnes5of8.csv,PNM,canopy,Chrysophyllum cainito,Sapotaceae,Ericales,asterids,liana,RubiscoRuBpTpu,20.81,50.2,78.61,5.61,9,5,2,119.46,18.7,462.3,1.05,0.777,Wright et al.
59,no59-2013jan25dorothy2.csv,PNM,canopy,Gouania lupuloides,Rhamnaceae,Rosales,rosids,liana,,,,,,,,,50.86,36.9,459.3,1.74,0.476,Wright et al.
60,no60-2013jan25agnes.csv,PNM,canopy,Gouania lupuloides,Rhamnaceae,Rosales,rosids,liana,,,,,,,,,65.53,32.6,461.5,1.75,0.476,Wright et al.
61,no61-2013jan25dorothy4_1of3.csv,PNM,canopy,Cordia alliodora,Boraginaceae,Boraginaceae,asterids,tree,RubiscoRuBpTpu,11.34,74.76,114.05,7.95,11,3,2,79.25,36,416,1.49,0.434,Wright et al.
62,no62-2013jan25brick3_3of3.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,10.05,29.62,45.76,3.1,11,1,4,58.9,14.9,370.8,0.71,,
63,no63-2013jan25agnes8of8.csv,PNM,canopy,Peritassa pruinosa,Celastraceae,Celastrales,rosids,liana,,,,,,,,,110.94,13.5,419.6,0.88,,
64,no64-2013jan25dorothy4_2of3.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,12.19,41.91,67.77,4.87,11,3,1,68.84,25.9,443.1,1.29,,
65,no65-2013jan25agnes7of8.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,19.12,28.99,48.41,3.32,11,2,3,109.05,17.6,419.3,0.86,,
66,no66-2013jan25dorothy3_1of2.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,,,,,,,,,47.07,32,468.3,2.32,,
67,no67-2013jan25brick2_1of2.csv,PNM,canopy,Chrysophyllum cainito,Sapotaceae,Ericales,asterids,tree,RubiscoRuBpTpu,17.24,39.56,62.81,4.36,11,2,3,102.19,18.6,463.7,0.94,0.777,Wright et al.
68,no68-2013jan25brick2_2of2.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,15.58,47.34,70.76,4.92,11,3,2,47.78,33.9,443.7,1.81,,
69,no69-2013jan25dorothy4_3of3.csv,PNM,canopy,Peritassa pruinosa,Celastraceae,Celastrales,rosids,liana,,,,,,,,,48.97,24.9,458.1,3.07,,
70,no70-2013jan25agnes2of8.csv,PNM,canopy,Gouania lupuloides,Rhamnaceae,Rosales,rosids,liana,RubiscoRuBpTpu,18.79,42.97,66.97,4.12,6,1,5,63.63,27.5,465.7,1.32,0.476,Wright et al.
71,no71-2013jan25agnes3of8.csv,PNM,canopy,Chrysophyllum cainito,Sapotaceae,Ericales,asterids,tree,RubiscoRuBpTpu,20.65,46.93,73.24,5.04,10,3,3,104.79,18.7,468.4,1.02,0.777,Wright et al.
72,no72-2013jan25agnes4of8.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,,,,,,,,,61.27,34,469.9,1.75,,
73,no73-2013jan25brick3_2of3.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,18.62,35.68,59.57,4.29,10,3,2,42.82,22.9,451.3,1.98,,
74,no74-2013jan25brick1_2of2.csv,PNM,canopy,Luehea seemanii,Malvaceae,Malvales,rosids,tree,RubiscoRuBpTpu,29.79,44.71,71.87,5,10,3,3,109.76,19.9,442.1,0.92,0.573,Wright et al.
75,no75-2013jan26cecilia1_2of2.csv,PNM,canopy,Mikania micrantha,Asteraceae,Asterales,asterids,liana,,23.65,,,,,,,37.14,27.6,446,1.93,,
76,no76-2013jan26dorothy_1of4.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBp,23.78,51.9,90.88,6.77,11,2,0,65.05,32.1,467.2,1.91,,
77,no77-2013jan26agnes1_1of6.csv,PNM,canopy,Cecropia obtusifolia ,Urticaceae,Rosales,rosids,tree,RubiscoRuBpTpu,30.17,66.82,109.65,7.06,10,2,4,51.81,37.5,438.5,2.02,0.305,Wright et al.
78,no78-2013jan26cecilia1_1of2.csv,PNM,canopy,Cecropia obtusifolia ,Urticaceae,Rosales,rosids,tree,RubiscoRuBpTpu,18.9,77.21,125.31,8.35,10,3,3,61.27,33.5,441.8,1.54,0.305,Wright et al.
79,no79-2013jan26dorothy_2of4.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,RubiscoRuBpTpu,19.2,53.18,80.43,5.8,10,5,1,44.71,35.1,465.8,2.15,,
80,no80-2013jan26agnes1_2of6.csv,PNM,canopy,unknown,unknown,unknown,unknown,liana,,,,,,,,,28.15,49.8,424.9,2.87,,
81,no81-2013jan26dorothy_3of4.csv,PNM,canopy,Gouania lupuloides,Rhamnaceae,Rosales,rosids,liana,RubiscoRuBpTpu,6.47,73.29,105.9,7.2,10,3,3,83.27,27.9,466.6,1.57,0.476,Wright et al.
82,no82-2013jan26agnes1_3of6.csv,PNM,canopy,Gouania lupuloides,Rhamnaceae,Rosales,rosids,liana,RubiscoRuBpTpu,10.81,51.17,74.75,4.95,9,2,4,73.57,26.4,455.3,1.75,0.476,Wright et al.
83,no83-2013jan26agnes1_4of6.csv,PNM,canopy,Luehea seemanii,Malvaceae,Malvales,rosids,tree,,,,,,,,,69.78,20.5,433.5,1.24,0.573,Wright et al.
84,no84-2013jan26cecilia2_1of2.csv,PNM,canopy,Luehea seemanii,Malvaceae,Malvales,rosids,tree,RubiscoRuBp,22.39,26.57,55.41,4.64,14,2,0,79.72,23.3,458.8,1.23,0.573,Wright et al.
