Observation,CurveID,Site Name,canopy/ground,Species,Family,Order,Clade,Growth form,LimitState,Amax,Vcmax25,Jmax25,tpu25,numrubisco,numrubp,numtpu,LMA,Nmass,Cmass,Pmass,wood density,density source
139,no139-13jan30agnes1_2of2.csv,SLZ,canopy,Terminalia amazonia,Combretaceae,Myrtales,rosids,tree,,,,,,,,,66.24,23.1,462.6,1.62,0.665,Wright et al.
140,no140-13jan30cecilia2.csv,SLZ,canopy,Aspidosperma megalocarpon,Apocynaceae,Gentianales,asterids,tree,RubiscoRuBp,16.66,41.9,79.08,5.76,11,4,0,126.56,17.4,493.5,0.67,0.777,Chave et al. 
141,no141-13jan30dorothy4.csv,SLZ,canopy,Sapium glandulosum,Euphorbiaceae,Malpighiales,rosids,tree,RubiscoRuBpTpu,25.62,76.32,116.51,7.54,9,3,3,120.64,22.8,444.9,1.85,0.502,Wright et al.
142,no142-13jan30cecilia3.csv,SLZ,canopy,Poulsenia armata,Moraceae,Rosales,rosids,tree,RubiscoRuBp,23.69,47.78,104.54,7.55,10,3,0,101.72,21.7,428.4,1.62,0.315,Wright et al.
143,no143-13jan30agnes5.csv,SLZ,canopy,Tocoyena pittieri,Rubiaceae,Gentianales,asterids,tree,RubiscoRuBpTpu,15.23,46.29,69.16,4.56,8,4,3,99.12,21.8,479.4,0.94,0.635,Wright et al.
144,no144-13jan30cecilia4.csv,SLZ,canopy,Andira inermis,Fabaceae,Fabales,rosids,tree,,,,,,,,,109.29,19.7,497.5,1.1,0.648,Wright et al.
145,"Sapium Brossium,Dorothy,crane",SLZ,canopy,Andira inermis,Fabaceae,Fabales,rosids,tree,,,,,,,,,139.8,14.49,461.3,0.64,0.414,
146,no146-2013jan31brick1_1of2.csv,SLZ,canopy,Neea sp. ,Nyctaginaceae,Caryophyllales,core eudicots,tree,RubiscoRuBpTpu,13.69,48.01,58.79,3.86,7,4,4,,40.3,436.3,1.99,,
147,no147-2013jan31brick1_2of2.csv,SLZ,canopy,Alchornea,Euphorbiaceae,Malpighiales,rosids,tree,RubiscoRuBpTpu,12.54,34.57,53.71,3.53,8,2,5,35.25,23.7,453.7,1.72,,
148,"FESP03,Brick,11.00",SLZ,ground,Piper reticulatum,Piperaceae,Piperales,magnoliids,tree,,,,,,,,,37.14,31.61,409.2,1.81,,
149,"FESP04,brick,12.20",SLZ,ground,unknown,unknown,unknown,unknown,tree,,,,,,,,,32.17,45.07,420.5,1.73,,
150,"F.S.Crane,Aci-Agnes,CAGU",SLZ,canopy,Carapa guianensis,Meliaceae,Sapindales,rosids,tree,,,,,,,,,114.02,15.2,478,0.87,0.53,
152,no152-13jan31agnes2.csv,SLZ,canopy,unknown,unknown,unknown,unknown,tree,RubiscoRuBp,14.35,28.09,54.85,4.18,11,3,0,128.45,21.1,452,1.07,,
153,"F.S.Crane, Agnes - Aci,",SLZ,canopy,unknown,unknown,unknown,unknown,tree,,,,,,,,,101.72,32.67,496.7,0.97,,
154,no154-13jan30agnes7.csv,SLZ,canopy,Cespedesia spathulata,Ochnaceae,Malpighiales,rosids,tree,RubiscoRuBp,14.01,33.21,57.2,4.16,11,5,0,59.38,18.4,479.2,0.74,0.588,Chave et al. 
155,no155-13jan31agnes1.csv,SLZ,canopy,unknown,unknown,unknown,unknown,tree,RubiscoRuBpTpu,14.46,38.22,64.4,4.31,9,2,3,147.14,20.2,445,1.1,,
157,"F.S.Crane,Dorothy-LRC",SLZ,canopy,Vantanea depleta,Humiriaceae,Malpighiales,rosids,tree,,,,,,,,,76.17,31.68,493.6,0.94,,
159,no159-13jan31-cecilia3.csv,SLZ,canopy,Cespedesia spathulata,Ochnaceae,Malpighiales,rosids,tree,RubiscoRuBpTpu,22.54,49.39,99.57,6.95,12,2,1,97.7,19.1,465.1,0.91,0.588,Photosyntheti
160,no160-13jan31cecilia.csv,SLZ,canopy,Vantanea depleta,Humiriaceae,Malpighiales,rosids,tree,RubiscoRuBpTpu,20.92,53.67,93.46,6.45,9,3,3,83.98,28.4,493,0.88,0.798,Joseph Wright
161,"F.S.crane,ACi-Agnes,VADE",SLZ,canopy,Vantanea depleta,Humiriaceae,Malpighiales,rosids,tree,,,,,,,,,154.94,14.29,471.8,0.63,0.835,
162,no162-13jan31-cecilia_4.csv,SLZ,canopy,Virola multiflora,Myristicaceae,Magnoliales,magnoliids,tree,RubiscoRuBpTpu,18.91,43.02,82.95,5.77,12,3,1,127.5,19.7,482,0.78,0.448,Joseph Wright
163,nonut-13jan30dorothy5.csv,SLZ,canopy,Andira inermis,Fabaceae,Fabales,rosids,tree,RubiscoTpu,17.51,53.62,,,13,0,1,,,,,0.648,Joseph Wright
,,,,,,,,,,umol/m2/s,umol/m2/s,umol/m2/s,umol/m2/s,,,, g/m2,mg/g,mg/g,mg/g,g/m3,
