Species,GrowthForm,amax,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Note
serjania mexicana,Liana,12.9,NA,14.08,1740,26.3,Slot et al. 2014,Tropical rainforest,-79.55,8.98333333,
combretum fruticosum,Liana,NA,0.54,NA,1740,26.3,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,
mikania leiostachya,Liana,NA,0.22,NA,1740,26.3,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,
serjania mexicana,Liana,NA,0.33,NA,1740,26.3,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,
andira inermis,Tree,9.5,0.635,NA,2220,23.8,Wright et al. 2004,Tropical rainforest,-85.515642,10.939458,
aspidosperma tomentosum,Tree,10.2,0.82,7.08,1470,20.2,Wright et al. 2004,Tropical seasonal forest,-48,-22.5,
bowdichia virgilioides,Tree,9.2,0.91,5.89,1470,20.2,Wright et al. 2004,Tropical seasonal forest,-48,-22.5,
caryocar brasiliense,Tree,9.4,0.65,8.51,1470,20.2,Wright et al. 2004,Tropical seasonal forest,-48,-22.5,
connarus suberosus,Tree,12.2,0.45,6.76,1470,20.2,Wright et al. 2004,Tropical seasonal forest,-48,-22.5,
didymopanax macrocarpum,Tree,10,0.76,NA,1535,21.9,Wright et al. 2004,Tropical rainforest,-47.88333333,-15.93333333,
jacquinia pungens,Tree,13,0.81,NA,2220,23.8,Wright et al. 2004,Tropical rainforest,-85.515642,10.939458,
licania arborea,Tree,8,0.65,NA,2220,23.8,Wright et al. 2004,Tropical rainforest,-85.515642,10.939458,
piptocarpha rotundifolia,Tree,12.3,0.65,6.31,1470,20.2,Wright et al. 2004,Tropical seasonal forest,-48,-22.5,
pithecellobium saman,Tree,10.5,0.48,NA,2220,23.8,Wright et al. 2004,Tropical rainforest,-85.515642,10.939458,
psidium guajava,Tree,6.3,0.8,10.96478196,2220,23.8,Wright et al. 2004,Tropical rainforest,-85.515642,10.939458,
anisoptera costata,Tree,13.7,0.549,15.38,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
dipterocarpus alatus,Tree,20.3,0.621,9.43,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
dipterocarpus intricatus,Tree,14.7,0.568,6.58,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
dipterocarpus retusus,Tree,14,0.478,9.43,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
dipterocarpus tuberculatus,Tree,18.9,0.401,9.35,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
dipterocarpus turbinatus,Tree,16.1,0.609,9.9,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
hopea chinensis,Tree,9.9,0.621,12.5,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
hopea hainanensis,Tree,10.1,0.533,10.2,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
hopea hongayensis,Tree,6.1,0.655,19.23,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
hopea mollissima,Tree,7.2,0.602,11.36,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
parashorea chinensis,Tree,8.3,0.512,19.23,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
shorea assamica,Tree,10.7,0.342,15.38,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
shorea robusta,Tree,17.2,0.436,10.64,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
shorea spp.,Tree,9.7,0.566,8.93,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
vatica guangxiensis,Tree,5.1,0.578,12.35,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
vatica mangachapoi,Tree,9.3,0.573,10.42,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
vatica xishuangbannaensis,Tree,7.3,0.585,12.2,1560,21.7,Zhang and Cao 2009,Tropical rainforest,101.4166667,21.68333333,
sclerolobium paniculatum,Tree,16.2,0.65,5.555,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.88333333,-15.93333333,
sclerolobium paniculatum,Tree,14.2,0.67,5,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.88333333,-15.93333333,
sclerolobium paniculatum,Tree,14.8,0.59,5.405,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.88333333,-15.93333333,
sclerolobium paniculatum,Tree,18.7,0.58,5.71,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.88333333,-15.93333333,
baccaurea ramiflora,Tree,4.97,0.56,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,
bauhinia variegate,Tree,7.84,0.51,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,
quisqualis indica,Liana,10.5,0.5,24.54708916,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,
syzygium szemaoense,Tree,10.36,0.52,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,
millettia pachycarpa,Liana,12.05,0.49,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,
combretum latifolium,Liana,10.85,0.46,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,
acmena acuminatissima,Tree,7.77,0.6,12.64,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
acronychia pedunculata,Tree,6.58,0.54,10.34,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
aida canthioides,Tree,6.46,0.79,14.47,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
aporusa dioica,Tree,4.31,0.57,18.81,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
ardisia quinquegona,Tree,7.79,0.52,10.92,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
blastus cochinchinensis,Tree,6,0.51,10.5,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
castanopsis chinensis,Tree,11.74,0.54,9.96,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
castanopsis fissa,Tree,10.11,0.5,10.6,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
cryptocarya chinensis,Tree,8.02,0.52,14.47,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
cryptocarya concinna,Tree,6.19,0.5,9.18,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
diospyros morrisiana,Tree,7.85,0.48,13.53,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
diplospora dubia,Tree,4.08,0.86,8.12,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
gironniera subaequalis,Tree,6.69,0.64,18.61,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
machilus chinensis,Tree,6.71,0.5,15.95,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
melicope pteleifolia,Tree,11.17,0.43,13.32,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
memecylon ligustrifolium,Tree,7.06,0.48,15.01,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
microdesmis caseariifolia,Tree,4.93,0.55,12.99,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
mischocarpus pentapetalus,Tree,7.18,0.72,11.24,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
psychotria rubra,Tree,7.51,0.73,9.26,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
pygeum topengii,Tree,5.12,0.77,16.24,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
sapium sebiferum,Tree,12.95,0.57,12.85,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
sarcosperma laurinum,Tree,6.55,0.62,15.4,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
schefflera heptaphylla,Tree,13,0.59,13.42,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
schima superba,Tree,9.31,0.47,8.66,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
syzygium levinei,Tree,3.83,0.53,19.73,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
syzygium rehderianum,Tree,5.78,0.63,11.04,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
toxicodendron succedaneum,Tree,11.58,0.51,14.98,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
xanthophyllum hainanense,Tree,5.91,0.59,14.21,1900,21.4,Zhu et al. 2013,Tropical seasonal forest,112.5108333,21.15583333,
alseis blackiana,Tree,6.61728,0.57106,15.2912,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
callichlamys latifolia,Liana,13.68582,0.49454,23.358484,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
clitoria javitensis,Liana,10.43852,0.38452,29.374302,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
combretum decandrum,Liana,16.59346,0.4268,18.5628,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
croton billbergianus,Tree,12.22228,0.44668,26.769148,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
doliocarpus dentatus,Liana,14.6691,0.25572,20.131234,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
erythrina costaricensis,Tree,12.2577,0.30128,36.78721,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
eugenia nesiotica,Tree,7.20618,0.47282,21.091442,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
faramea occidentalis,Tree,8.68876,0.5132833,18.856968,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
gustavia superba,Tree,9.52238,0.39436,16.345402,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
inga vera,Tree,9.21826,0.45516,19.40248,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
luehea seemannii,Tree,14.75768,0.4074,19.5426,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
machaerium seemannii,Liana,8.61038,0.5623,22.347473,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
maripa panamensis,Liana,17.00686,0.33134,18.758512,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
miconia argentea,Tree,12.93778,0.58236,15.231692,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
mikania leiostachya,Liana,7.59562,0.57368,27.49207,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
paullinia glomerulosa,Liana,7.87852,0.83324,31.10073,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
paullinia rugosa,Liana,9.05664,0.5553571,21.939793,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
piper reticulatum,Tree,8.1089,0.3048667,18.396542,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
senna dariensis,Tree,14.19472,0.4301167,44.52742,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
senna undulata,Liana,12.03844,0.45916,25.691058,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
stizophyllum riparium,Liana,17.1226,0.33184,17.7,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
terminalia amazonia,Tree,9.68286,0.56028,22.059242,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
tetracera portobellensis,Liana,14.574,0.24256,21.619996,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
vismia billbergiana,Tree,10.74882,0.3847167,22.878338,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
vitis tiliifolia,Liana,16.54492,0.32576,23.4668,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
xylopia macrantha,Tree,7.91884,0.41306,23.18995,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
zanthoxylum panamense,Tree,12.76452,0.4267,23.388837,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
zuelania guidonia,Tree,5.91872,0.55888,14.590266,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,
annona spraguei,Tree,9.94326,0.35238,14.225738,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
arrabidaea verrucosa,Liana,22.70168,0.43558,15.66525,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
bauhinia reflexa,Liana,14.03852,0.56488,14.997436,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
brosimum utile,Tree,12.3336,0.53688,10.02136,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
cecropia obtusifolia,Tree,12.04046,0.28148,20.685776,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
coccoloba parimensis,Liana,16.83228,0.5566,14.096034,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
davilla nitida,Liana,12.71376,0.52544,12.008316,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
doliocarpus multiflorus,Liana,13.49692,0.57506,6.18227,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
hiraea smilacina,Liana,14.12624,0.65522,9.622938,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
machaerium floribundum,Liana,16.8325,0.37182,14.609774,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
maripa panamensis,Liana,20.78142,0.4315,11.047998,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
mendoncia litoralis,Liana,22.97038,0.29884,19.80476,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
myriocarpa longipes,Tree,13.63594,0.26522,18.1148,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
paullinia fibrigera,Liana,12.1747,0.5038,14.243156,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
paullinia rugosa,Liana,10.48226,0.37736,16.85209,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
phryganocydia corymbosa,Liana,13.38452,0.50282,8.804576,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
piper reticulatum,Tree,17.44746,0.34366,13.902812,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
pourouma bicolor,Tree,11.07436,0.3469,15.83768,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
protium panamense,Tree,10.84878,0.50214,11.547208,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
simarouba amara,Tree,13.30474,0.38282,16.1094,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
tachigali versicolor,Tree,5.86988,0.58934,10.957978,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
tapirira guianensis,Tree,9.74092,0.55584,11.745478,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
terminalia amazonia,Tree,11.00678,0.62632,8.277496,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
tontelea ovalifolia,Liana,16.81862,0.42066,12.9952,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
tovomita longifolia,Tree,9.22418,0.72844,6.368766,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
virola sebifera,Tree,9.46782,0.4869,10.12885,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,
