Species,GrowthForm,kl,ksat,Al.As,ax,p50,p12,p88,Pmd,Ppd,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Method,Maximal Vessel Length (m),Note,Id
bursera simaruba,Tree,0.000214,3.55,1.658878505,NA,NA,NA,NA,NA,NA,0.305,15.31087462,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
byrsonima crassifolia,Tree,0.000225,2.1,0.933333333,NA,NA,NA,NA,NA,NA,0.584,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
calycophyllum candidissimum,Tree,0.000137,1.11,0.810218978,NA,NA,NA,NA,NA,NA,0.696666667,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
curatella americana,Tree,0.000127,1.25,0.984251969,NA,NA,NA,NA,NA,NA,0.65,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
enterolobium cyclocarpum,Tree,0.000426,3.5,0.821596244,NA,NA,NA,NA,NA,NA,0.39,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
gliricidia sepium,Tree,0.000275,3.65,1.327272727,NA,NA,NA,NA,NA,NA,0.6175,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
hymenaea courbaril,Tree,0.000169,2.4,1.420118343,NA,NA,NA,NA,NA,NA,0.79235,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
manilkara chicle,Tree,4.80E-05,0.45,0.9375,NA,NA,NA,NA,NA,NA,1.04,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
quercus oleoides,Tree,0.000199,2.1,1.055276382,NA,NA,NA,NA,NA,NA,0.86,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
rehdera trinervis,Tree,0.000262,1.72,0.65648855,NA,NA,NA,NA,NA,NA,NA,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
simarouba amara,Tree,0.000366,1.2,0.327868852,NA,NA,NA,NA,NA,NA,0.383333333,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
swietenia macrophylla,Tree,0.000144,1.2,0.833333333,NA,NA,NA,NA,NA,NA,0.519545455,NA,1922.3,25.988,Brodribb et al. 2002,Tropical seasonal forest,-85.60194444,10.90555556,NA,NA,,
bursera simaruba,Tree,NA,NA,NA,54.28571429,-1,-0.3,-1.7,-1.02,NA,0.305,15.31087462,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
calycophyllum candidissimum,Tree,NA,NA,NA,26.57342657,-2.87,-1.2,-4.3,-1.36,NA,0.696666667,NA,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
enterolobium cyclocarpum,Tree,NA,NA,NA,49.35064935,-2.73,-2,-3.5,-1.93,NA,0.39,NA,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
hymenaea courbaril,Tree,NA,NA,NA,42.22222222,-3,-2.1,-3.9,-3.11,NA,0.79235,NA,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
quercus oleoides,Tree,NA,NA,NA,43.67816092,-3.03,-2.1,-3.9,-3.47,NA,0.86,NA,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
rehdera trinervis,Tree,NA,NA,NA,20,-2.8,-0.7,-4.7,-2.96,NA,NA,NA,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
simarouba glauca,Tree,NA,NA,NA,54.28571429,-2,-1.5,-2.7,-2.01,NA,0.383333333,NA,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
swietenia macrophylla,Tree,NA,NA,NA,42.22222222,-2.2,-1.3,-3.1,-2.8,NA,0.519545455,NA,1922.3,25.988,Brodribb et al. 2003,Tropical seasonal forest,-85.60194444,10.90555556,Bench dehydration,NA,,
erythroxylum suberosum,Tree,0.000578,0.41,0.070934256,NA,NA,NA,NA,-1.8,-0.56,0.633,3.91,1500,21,Bucci et al. 2004,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
kielmeyera coriacea,Tree,0.001841,0.93,0.050516024,NA,NA,NA,NA,-1.45,-0.338,0.455,7.38,1500,21,Bucci et al. 2004,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
blepharocalyx salicifolius,Tree,0.00067,4.73,0.705970149,20.10582011,-2.17,NA,-4.06,-2.38,-0.754166667,0.33,15.8,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
blepharocalyx salicifolius,Tree,0.000682,5.37,0.787390029,17.9245283,-2.3,-0.23,-4.42,-2.18,-0.9,0.31,15.2,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
blepharocalyx salicifolius,Tree,0.000757,2.05,0.270805812,14.78599222,-1.93,NA,-4.5,-1.64,-0.775,0.53,10.2,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
blepharocalyx salicifolius,Tree,0.000776,2.28,0.293814433,16.10169492,-1.72,-0.21,-4.08,-1.63,-0.820833333,0.49,11.7,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
caryocar brasiliense,Tree,0.000756,3.5,0.462962963,52.77777778,-2.03,-0.44,-2.75,-1.67,-0.588888889,0.35,14.9,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
caryocar brasiliense,Tree,0.000877,3.88,0.442417332,21.46892655,-1.97,NA,-3.74,-1.33,-0.588888889,0.38,17.4,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
caryocar brasiliense,Tree,0.001078,2.67,0.247680891,14.96062992,-1.48,-0.46,-4.02,-1.01,-0.6125,0.35,14.5,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
caryocar brasiliense,Tree,0.001187,2.78,0.234203875,15.57377049,-1.62,-0.29,-4.06,-1,-0.736111111,0.34,10.8,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
ouratea hexasperma,Tree,0.000629,1.69,0.268680445,11.9873817,-2.03,NA,-5.2,-2.22,-0.683333333,0.41,8.1,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.25,,
ouratea hexasperma,Tree,0.000674,1.62,0.240356083,10.21505376,-1.87,-0.77,-5.59,-2.14,-0.916666667,0.42,10.5,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.25,,
ouratea hexasperma,Tree,0.000987,1.11,0.112462006,12.7090301,-1.48,NA,-4.47,-1.63,-0.836111111,0.42,7.5,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.25,,
ouratea hexasperma,Tree,0.000824,0.96,0.116504854,12.17948718,-1.48,-0.3,-4.6,-1.61,-0.922222222,0.46,7.64,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.25,,
qualea parviflora,Tree,0.000575,1.26,0.219130435,13.62007168,-2.23,NA,-5.02,-2.21,-0.616666667,0.46,7.9,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
qualea parviflora,Tree,0.000364,1.7,0.467032967,12.79461279,-2.5,NA,-5.47,-2.11,-0.672222222,0.45,7.9,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
qualea parviflora,Tree,0.00058,0.94,0.162068966,11.01449275,-1.65,NA,-5.1,-1.39,-0.927777778,0.48,6,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
qualea parviflora,Tree,0.000857,1.15,0.134189032,10.38251366,-1.72,NA,-5.38,-1.35,-0.688888889,0.48,5.7,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
schefflera macrocarpa,Tree,0.00055,3.23,0.587272727,21.34831461,-2.17,-0.31,-3.95,-1.86,-0.833333333,0.46,5.8,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.55,,
schefflera macrocarpa,Tree,0.000389,2.67,0.686375321,25,-2.43,NA,-3.95,-1.8,-0.772222222,0.56,5.4,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.55,,
schefflera macrocarpa,Tree,0.000712,0.96,0.134831461,14.23220974,-1.77,-0.25,-4.44,-1.34,-0.745833333,0.59,2.9,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.55,,
schefflera macrocarpa,Tree,0.000666,2.14,0.321321321,17.04035874,-1.72,-0.27,-3.95,-1.24,-0.7,0.56,3.76,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.55,,
erythroxylum suberosum,Tree,0.000578,NA,NA,NA,NA,NA,NA,-1.73,NA,NA,NA,1500,21,Bucci et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
kielmeyera coriacea,Tree,0.00184,NA,NA,NA,-1.91,NA,NA,-1.56,NA,NA,4.897788194,1500,21,Bucci et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
styrax ferrugineus,Tree,0.0012,NA,NA,NA,-3.35,NA,NA,-1.65,NA,NA,NA,1500,21,Bucci et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
fridericia caudigera,Liana,NA,16.1,NA,26.45250573,-2.495116537,-0.61209061,-4.378142464,-2.6,-0.5,0.51,NA,698,27,Carvalho et al. 2015,Tropical seasonal forest,-40.92805556,-5.11694444,Bench dehydration,0.58,,9
fridericia chica,Liana,NA,6.79,NA,26.18193127,-2.098176584,-0.195690721,-4.000662447,-2.3,-0.35,0.52,NA,979,26,Carvalho et al. 2015,Tropical seasonal forest,-40.92805556,-5.11694444,Bench dehydration,0.26,,11
fridericia dispar,Liana,NA,5.2,NA,26.92037519,-1.89326114,-0.042961738,-3.743560543,-1.8,-0.2,0.49,NA,979,26,Carvalho et al. 2015,Tropical seasonal forest,-40.92805556,-5.11694444,Bench dehydration,0.63,,10
adansonia rubrostipa,Tree,NA,NA,NA,NA,-1.1,NA,-2.82,-0.95,NA,NA,NA,770,21.81,Chapotin et al. 2006,Tropical seasonal forest,44.8167,-20.45,Pressure sleeve,NA,,
adansonia za,Tree,NA,NA,NA,NA,-1.7,NA,-3.49,-0.97,NA,NA,NA,770,21.81,Chapotin et al. 2006,Tropical seasonal forest,44.8167,-20.45,Pressure sleeve,NA,,
hevea brasiliensis,Tree,NA,NA,NA,NA,-1.27,NA,NA,NA,NA,0.466625,NA,1560,21.7,"Chen et al. 2009a, b",Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
macaranga denticulata,Tree,0.000364,4.41,1.211538462,52.77777778,-1.14,-0.42,-1.86,NA,NA,0.41,NA,1560,21.7,"Chen et al. 2009a, b",Tropical seasonal forest,101.7666667,21.9,Bench dehydration,NA,,
ventilago calyculata,Liana,NA,4,NA,79.54042783,-0.761408563,-0.135176652,-1.387640474,NA,NA,NA,17.05,1500,22.9,Chen et al. 2014,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.62,Juvenile stage,13
ventilago calyculata,Liana,NA,8,NA,35.6907619,-1.208016385,-0.382587892,-3.814296312,NA,NA,NA,17.05,1500,22.9,Chen et al. 2014,Tropical rainforest,101.7666667,21.9,Pressure sleeve,1.73,Mature stage,15
ziziphus attopensis,Liana,NA,0.5,NA,60.86877569,-0.775708017,-0.224285464,-1.762413943,NA,NA,NA,27.03,1500,22.9,Chen et al. 2014,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.34,Juvenile stage,12
ziziphus attopensis,Liana,NA,1.5,NA,45.41765314,-0.780015402,-0.191192643,-3.182256482,NA,NA,NA,27.03,1500,22.9,Chen et al. 2014,Tropical rainforest,101.7666667,21.9,Pressure sleeve,1.1,Mature stage,14
byttneria integrifolia,Liana,NA,NA,NA,NA,-0.9,NA,NA,-1.3,-0.28,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
byttneria integrifolia,Liana,NA,NA,NA,NA,-0.9,NA,NA,-3.18,-0.28,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
